INFO 2021-07-14 20:49:41,123 Watching for file changes with StatReloader
INFO 2021-07-14 20:50:49,142 "GET / HTTP/1.1" 302 0
INFO 2021-07-14 20:50:49,148 "GET / HTTP/1.1" 302 0
INFO 2021-07-14 20:50:49,263 "GET / HTTP/1.1" 302 0
INFO 2021-07-14 20:50:49,497 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-14 20:50:49,516 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-14 20:50:49,532 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-14 20:50:49,546 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
INFO 2021-07-14 20:50:49,564 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2021-07-14 20:50:49,566 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19724
INFO 2021-07-14 20:50:49,633 "GET /static/dist/css/login-page.css HTTP/1.1" 200 8610
INFO 2021-07-14 20:50:49,642 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686707
INFO 2021-07-14 20:50:49,659 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13632
INFO 2021-07-14 20:50:49,666 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2021-07-14 20:50:49,700 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2021-07-14 20:50:50,218 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42383
INFO 2021-07-14 20:50:50,220 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
INFO 2021-07-14 20:50:50,241 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2021-07-14 20:50:50,241 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 57530
INFO 2021-07-14 20:50:50,242 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2021-07-14 20:50:50,447 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2021-07-14 20:50:50,698 Not Found: /favicon.ico
WARNING 2021-07-14 20:50:50,699 "GET /favicon.ico HTTP/1.1" 404 6202
WARNING 2021-07-14 20:50:50,717 Not Found: /favicon.ico
WARNING 2021-07-14 20:50:50,718 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2021-07-14 20:51:50,314 "POST /accounts/login/ HTTP/1.1" 200 4106
INFO 2021-07-14 20:51:50,349 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,356 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,368 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,372 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,373 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,389 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,389 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,391 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,391 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,392 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,398 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,399 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,399 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:51:50,450 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2021-07-14 20:52:07,305 "POST /accounts/login/ HTTP/1.1" 200 4106
INFO 2021-07-14 20:52:42,233 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2021-07-14 20:52:42,345 "GET / HTTP/1.1" 200 9290
INFO 2021-07-14 20:52:42,379 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,386 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25780
INFO 2021-07-14 20:52:42,407 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,409 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,412 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,419 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,421 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,422 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,426 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,428 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042446
INFO 2021-07-14 20:52:42,433 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,437 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,438 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:52:42,535 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2021-07-14 20:52:43,189 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2021-07-14 20:52:52,607 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-14 20:52:56,544 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2021-07-14 20:53:05,089 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2021-07-14 20:53:07,922 "GET /staff/create/ HTTP/1.1" 200 12600
INFO 2021-07-14 20:53:13,277 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2021-07-14 20:53:18,544 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2021-07-14 20:53:21,233 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2021-07-14 20:53:21,302 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,315 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,325 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,325 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,325 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,326 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,326 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,328 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,336 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,341 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,344 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,347 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:21,348 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:53:23,344 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2021-07-14 20:53:26,388 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-14 20:53:32,699 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2021-07-14 20:53:49,099 "GET /site-config HTTP/1.1" 200 10875
INFO 2021-07-14 20:54:26,155 "GET /student/list HTTP/1.1" 200 9946
INFO 2021-07-14 20:54:26,191 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
